

・BGM_01		konekonoosanpo.mp3			ノベルほのぼのシーン
・BGM_42		audiostock_227319.mp3			【宴用】近くの森のBGM　03と同じ
・BGM_43		gymnopedies1.mp3			【宴用】優しく、悲しいBGM（猫ししゃもクッキーのイベント）
・BGM_44		hometown.mp3				優しく、悲しいBGM2（猫ししゃもクッキーのイベント）
・BGM_45		kaerimiti.mp3				ほっと安心BGM（猫ししゃもクッキーのイベント）
・BGM_46		gymnopedies1.mp3			43と同じ。ジムノペディ第一番。
・BGM_47		09[town]海の見えるお店.mp3		酒場のBGM
・BGM_48		ecossaise				チュートリアルのBGM
・BGM_49		04[theme]大好きな場所			ベリーファームのBGM
・BGM_50		audiostock_944577			調合テーマ４　アトリエメインテーマ３　楽しい音楽
・BGM_51		audiostock_236508			採集選択画面
・BGM_52		ecossaise				【宴用】チュートリアルのBGM
・BGM_53		PerituneMaterial_Memories6_Piano_loop	調合テーマ５　悲しい音楽
・BGM_54		PerituneMaterial_Laid_Back_loop		調合テーマ６　ちょっと明るい音楽
・BGM_55		audiostock_259681			【宴用】広場のBGM　11と同じ
・BGM_56		audiostock_199704			タイトルBGM
・BGM_57		PerituneMaterial_Breeze4		【宴用】ピクニックのBGM
・BGM_58		PerituneMaterial_Music-box_Gentle2	ゲームオーバーのBGM
・BGM_59		凱旋ファンファーレ			クエストファンファーレのジングル 旧：audiostock_3614_sample
・BGM_60		fjordnosundakaze			図書室のBGM
・BGM_61		PerituneMaterial_Cafe_Musette		調合テーマ７　ワルツの調合風音楽
・BGM_62		PerituneMaterial_Chinatown_loop		【宴用】中華BGM
・BGM_63		PerituneMaterial_Laid_Back3_loop	【宴用】クエストクリア高得点時のBGM
・BGM_64		PerituneMaterial_Laid_Back3_loop	調合時のBGM2　BGM_63と同じ
・BGM_65		PerituneMaterial_Resort5		【宴用】ピクニックのBGM2 リゾート風
・BGM_66		PerituneMaterial_Breeze3		【宴用】ピクニックのBGM3
・BGM_67		capybaranoyume				調合テーマ８　アトリエメインテーマ４　楽しい音楽
・BGM_68		houkagonoyuzora				【宴用】ピクニックのBGM 帰り
・BGM_69		PerituneMaterial_Breeze4		ピクニックのBGM1　57と同じ
・BGM_70		PerituneMaterial_Resort5		ピクニックのBGM2 リゾート風　65と同じ
・BGM_71		PerituneMaterial_Breeze3		ピクニックのBGM3　66と同じ
・BGM_72		houkagonoyuzora				ピクニックのBGM 帰り  68と同じ
・BGM_73		audiostock_259681			【宴用】広場のBGM
・BGM_74		ボサノバ2				【宴用】カフェのBGM
・BGM_75		contedefees_0177			【宴用】ティンクルパンクルポップンのBGM
・BGM_76		bgm_classic_tchaikovsky_kurumi-hana	【宴用】クリスタルキャッチャー8bitBGM
・BGM_77		ボサノバ2				カフェのBGM＜広場２で使用＞
・BGM_78		audiostock_251363.mp3			【宴用】ショップのBGM
・BGM_79		PerituneMaterial_Cafe_Musette		【宴用】調合テーマ７　ワルツの調合風音楽　BGM61と同じ
・BGM_80		PerituneMaterial_EpicBattle_Deity_loop	大会コンテスト調合時のBGM
・BGM_81		PerituneMaterial_Laid_Back3_Retro_loop	２のアトリエ調合メインBGM予定
・BGM_82		PerituneMaterial_Cafe_Seaside_loop	２のオランジーナ街BGM
・BGM_83		Lethargic-Witch(なぐもりず)		魔法の先生のテーマ01
・BGM_84		PerituneMaterial_Snowy_Day3_loop	冬エリアのBGM
・BGM_85		Paysage de Strahlburg(なぐもりず)	秋エリアのBGM (古いaudiostock_872985_sample)
・BGM_86		PerituneMaterial_Holiday3		夏エリア遊園地のBGM
・BGM_87		PerituneMaterial_Enjoyable3_loop	大会コンテスト調合時のBGM02　初級
・BGM_88		PerituneMaterial_Teatime_loop		大会コンテスト受付のBGM
・BGM_89		PerituneMaterial_Memories2		サクラフォレストのBGM
・BGM_90		audiostock_157663			夏エリアのBGM
・BGM_91		audiostock_849596_sample		コンテスト終了後の賞品画面のBGM
・BGM_92		Excursion(なぐもりず)			魔法の先生のテーマ02
・BGM_93		icyalove_07(にんじんわいん)		秘密の花園のテーマ
・BGM_94		こんとどぅふぇ素材No.0114-
			ティンクルハロータウン			ブルートパーズの花畑のBGM
・BGM_95		わぁ（なぐもりず）			おとぼけBGM（にいちゃん舞を舞う）
・BGM_96		PerituneMaterial_Cerulean_Relics	水族館のテーマ
・BGM_97		おやつはパンケーキ（なぐもりず）	ほのぼのシーン２
・BGM_98		audiostock_1523480_sample		春エリア露店通りのBGM
・BGM_99		audiostock_				おとぼけBGM２　お囃子
・BGM_100		Excursion(なぐもりず)			【宴用】魔法の先生のテーマ02　92と同じ
・BGM_101		ecossaise				【宴用】チュートリアルのBGM　48と同じ
・BGM_102		PerituneMaterial_Sketch_Forest_loop	エメラルドの大森林のBGM
・BGM_103		Peritune_Kittens_Caprice_loop		アクアマリンの湖のBGM
・BGM_104		木漏れ日の調べ（なぐもりず）		琥珀の湖のBGM
・BGM_105		あわ雪村（なぐもりず）			ムーンストーンの丘のBGM
・BGM_106		こんとどぅふぇ素材No.0083-
			妖精たちの演奏会			ルビー平野のBGM
・BGM_107		PerituneMaterial_Windmill_Village_loop	ダイアモンド山のBGM
・BGM_108		audiostock_807050_sample		【宴用】オープニングの映画風スタートBGM
・BGM_109		audiostock_1385237_sample		【宴用】オープニングの映画風スタートBGM2 静か
