SE表

・SE_01		audiostock_56181				決定音　ウィンドウを開いたイメージ
・SE_125	間抜け3						時間スピード変更音　普通
・SE_126	間抜け3_sukosi_hayai				時間スピード変更音　少し早い
・SE_127	間抜け3_hayai					時間スピード変更音　早い
・SE_128	audiostock_1411013				スキル習得時の音
・SE_129	audiostock_1513268				衣装装備時　布音 旧:audiostock_104039 キラリ音
・SE_130	audiostock_1411314				魔法発動音１
・SE_131	audiostock_1285222				魔法調合の完成音
・SE_132	audiostock_825112				魔法発動音２
・SE_133	audiostock_1382587_sample			※【未使用？】魔法発動音３
・SE_134	audiostock_718349				観客ブーイング音
・SE_135	sei_ge_doa_kisimi05				ドアのきしむ音
・SE_136	sei_ge_doa_kisimi02				ドアのきしむ音２
・SE_137	sei_ge_doa_tuyoku_cl01				重めのドアを閉める音
・SE_138	audiostock_1535474				いい匂いがするときのほわわ音
・SE_139	打撃1						軽い打撃音※打撃を二回鳴らしてる
・SE_140	audiostock_1497724				素早い場面転換
・SE_141	足音1(Springin)					素早い走る足音
・SE_142	audiostock_111020				妖精がぴょこって出る音
・SE_143	茶碗を置く					カタっとした物音
・SE_144	Party_Popper03-2(Dry)				パンッのクラッカー音
・SE_145	Wind_Chimes02-01(Up-Wide)			魔法を使うときのキラキラウィンドチャイム音
・SE_146	audiostock_1411314				【宴用】魔法発動音１　SE130と一緒
・SE_147	audiostock_5538.mp3				【宴用】失敗爆発音　SE21と一緒
・SE_148	Anime_Motion29-1(High)				空ぶった時のヒョイ音
・SE_149	audiostock_823846_sample			※魔法選択時の決定音　現在未使用
・SE_150	刀で打ち合う3					カタナがぶつかるようなカキン音
・SE_151	audiostock_813342				コンテスト会場入るときのドアベル音
・SE_152	蒸気機関車の汽笛1				蒸気機関車の汽笛の音
・SE_153	電車蒸気噴出					蒸気機関車の噴出の音
・SE_154	audiostock_175671.mp3				【宴で使用】シュイイーーン　調合中ためる音　SE_11と同じ
・SE_155	audiostock_142318				【宴で使用】魔法のようなルラララ音 SE_73と同じ
・SE_156	sei_ge_doa_nokku_dondon01			ドアを激しくノックする音
・SE_157	audiostock_52742				蒸気機関車のブレーキ音
・SE_158	ポカンとげんこつ				ポコっと軽くこずく音
・SE_159	audiostock_972326				回復する音
・SE_160	Explosion02-1(Long)				爆発音
・SE_161	audiostock_1314889				だいじなアイテムとったときの音
・SE_162	PerituneMaterial_J_Heartwarming2		エデンレシピとったときの重要音
・SE_163	page09.mp3					【宴で使用】レシピメモ開くときの軽い紙の音 SE_35と同じ
・SE_164	audiostock_1123553_sample			だいじなアイテムとったときの音2　※使わないかも？
・SE_165	audiostock_1586892				噴水勢いよく噴射！
・SE_166	audiostock_481446				噴水噴射後の降り注ぐ音
・SE_167	水をバシャッとかける1				水がぶっかかる音
・SE_168	水・水道01					噴水の出始めの音　旧:audiostock_387727
・SE_169	きらきら輝く1					スター獲得のキラキラ音
・SE_170	audiostock_383264				そしゃく音　猫っぽい
・SE_171	飲み込む音　ゴクリ(DOVA)			飲み込む音
・SE_172	Quiz-Question03-1				ジャン！　クイズの出題音
・SE_173	audiostock_116289				【魔法の音】キーン　光が細く飛んでいく音
・SE_174	audiostock_241560				【魔法の音】光が発生する音　キュラララ
・SE_175	Onoma-Sparkle05-2(High)				【魔法の音】光をためる音
・SE_176	audiostock_158711				【魔法の音】凍り付く音
・SE_177	Onoma-Flash02-1(Low-Dry)			【魔法の音】氷が発生する音
・SE_178	audiostock_1072576				【魔法の音】魔法チャージ中の氷のキラキラ音
・SE_179	audiostock_1105077_sample			【魔法の音】※未使用 魔法凍っていく途中の音
・SE_180	audiostock_78445_sample				【魔法の音】※未使用 凍り付く音２　いい音なので保存
・SE_181	Anime_Motion08-1(High)				【魔法の音】フルーツの足音
・SE_182	audiostock_247655				【魔法の音】ボン燃えてからボボボボ
・SE_183	audiostock_1414824				【魔法の音】炎の発射音
・SE_184	audiostock_1402719				【魔法の音】炎の着火音
・SE_185	audiostock_857161_sample			【魔法の音】発射音２　※未使用　いい音なので保存　★あたりに使えるかも
・SE_186	audiostock_798940_sample			【魔法の音】魔法凍っていく途中の音２
・SE_187	audiostock_869671				【魔法の音】魔法凍っていく途中の音３
・SE_188	audiostock_1550440				アイテムの装着音
・SE_189	audiostock_852771				【未使用】ヒカリから受け取ったおかしをパネルにセットする音
・SE_190	audiostock_205395				【宴用】エデンコンキャラクタ登場時のヒット音　ジャン！
・SE_191	audiostock_965421				ヒカリから受け取ったおかしをパネルにセットする音２　マリンバ 候補:ゆかりのてぃマリンバ音
・SE_192	audiostock_965916				【宴用】エデンコン結果発表時のファンファーレ負け
・SE_193	audiostock_250387				【宴用】エデンコン結果発表時のファンファーレ勝利
・SE_194	くつろぎスタジオ - ［紙14］破る			紙を破る音１
・SE_195	くつろぎスタジオ - ［紙16］破る			紙を破る音２
・SE_196	audiostock_247655				【宴用】ボン燃えてからボボボボ SE_182と同じ
・SE_197	間抜け1						コミカルながっかり音　※現在未使用　どこかで使ってもいいかも。
・SE_198	audiostock_1096779				妖精登場音　ボワン
・SE_199	Electromagnetic_Buzzer06-01(Dry)		乗り物アトラクション開始ブザー音
・SE_200	audiostock_1058331				バイキング動作音１　ツー
・SE_201	audiostock_125613				バイキング動作音２　プシュー
・SE_202	audiostock_1083946				バイキング動作音３　ビュン！
・SE_203	audiostock_408939				バイキング動作音４　キィィン！ジェット通過音
・SE_204	audiostock_770972				観覧車カタカタ音
・SE_205	笛ピッピー1					笛ピッピー音
・SE_206	シーン切り替え1					場面転換の音　トゥルルル
・SE_207	Hand-Foley-Clap04-2(High)			ハイタッチの音
・SE_208	お皿落とす					お皿落として割れる音
・SE_209	audiostock_42215				足音ぷに音　SE_56の単音を抜き出し
・SE_210	audiostock_96913_sample				【未使用】スターイベント発生時のためる音
・SE_211	audiostock_108915				スターイベントパネル登場時の余韻のきらきら音
・SE_212	audiostock_84933				ヒカリ魔法で光りをためる音
・SE_213	audiostock_816576				ガラスが割れる音
・SE_214	audiostock_108678				幽霊の登場音
・SE_215	audiostock_1307203				エデンの魔法で光りが収束するフィーン音
・SE_216	バタ足で泳ぐ					プールバタ足の音
・SE_217	水をバシャッとかける1				プール水泳中の音
・SE_218	水・泳ぐ・溺れる				プールおぼれるバシャ音
・SE_219	ゴゴゴゴ					近づいてくる威圧的なゴゴゴ音
・SE_220	Explosion08-2(Short)				爆発するような衝撃音
・SE_221	audiostock_1252412				木製床を走る足音
・SE_222	nc280865_風呂場銭湯桶カポーン			お風呂カポーーーン
・SE_223	audiostock_238688				体を洗う音　シャカシャカ　チャキチャキ
・SE_224	お風呂でごしごし1				頭を洗う音　シャカシャカ
・SE_225	audiostock_249536				頭から大きく水をかける　バシャーー
・SE_226	wearing-water					頭から大きく水をかける２　バシャーー　勢い強く
・SE_227	お風呂でごしごし1（倍速）			ヒカリがふざけて体をゴシゴシ早く洗う音
・SE_228	間抜け7						ほわほわほわ～ん　ギャグの間抜け音
・SE_229	お風呂でチャポン				お風呂チャプン音
・SE_230	お風呂に水を入れる				お風呂に湯をためる音
・SE_231	水道の水を止める				蛇口をしめる音
・SE_232	シャンプーをプッシュする音			シャンプーをプッシュする音
・SE_233	se_kikishimu01					木のきしむ音
・SE_234	se_machine_check1				パキっと壊す音
・SE_235	ずっこける					ドシーンとギャグっぽくこける音
・SE_236	布団に倒れ込む					布団に倒れ込む音　ポス
・SE_237	カーテンを開ける				カーテンをシャっと開ける音
・SE_238	audiostock_207436_sample			【未使用】ホイッスルピピー音
・SE_239	ラーメンを食べる				ラーメンすする音
・SE_240	猫の鳴き声1					ねこのなき声
・SE_241	audiostock_497314				ねこの悲しいなき声
・SE_242	audiostock_71160				ねこのなき声２だみ
・SE_243	09うるにゃーおー				ねこのなき声３うるにゃあ
・SE_244	audiostock_541296				ねこのなき声４だみ２
・SE_245	audiostock_1072569				テンパリングのチャージ音
・SE_246	audiostock_954672				テンパリングのチャージ成功音
・SE_247	audiostock_954672				【未使用】テンパリングのチャージ成功音２（ピッチ上げた　ちょっと高い）
・SE_248	audiostock_459571				テンパリングのチャージ成功音３
・SE_249	Onoma-Sparkle09-2(Short)			【魔法の音】水に水滴が落ちた時のキラーン音
・SE_250	Onoma-Flash04-1(Low-Long)			【魔法の音】水に水滴が落ちた時のキラーン音２
・SE_251	レベルアップ					レベルアップテッテレー音
・SE_252	Fracture02-1(Dry)				骨がボキリとなる音
・SE_253	audiostock_94822				トッピングで粒が降ってきたときのパパパ音
・SE_254	audiostock_1655939_sample			【未使用】トッピング最初の発動音
・SE_255	audiostock_40348				魔法使用時の上昇ハープ音 　旧：Onoma-Sparkle05-1(Low)
・SE_256	Onoma-Sparkle02-3(High-Short)			トッピング中の背景キラキラ音
・SE_257	audiostock_175671.mp3				トッピング中の背景キラキラ音２　SE_11のピッチを高くした
・SE_258	ゴゴゴゴゴ・・・				重めのドアを開けるときのゴゴゴゴ音
・SE_259	audiostock_1648925				粉ばささ～の音
・SE_260	audiostock_947955				コミカルなケンカの音ポカスカ
・SE_261	木魚ポク・ポク・ポク				木魚ポクポクポク・・・
・SE_262	sei_ge_door_big_op02				古いとびらを開ける音
